index	name	color
0	Unknown	#000000
1	Left-Cerebral-White-Matter	#f5f5f5
2	Left-Cerebral-Cortex	#cd3e4e
3	Left-Lateral-Ventricle	#781286
4	Left-Inf-Lat-Vent	#c43afa
5	Left-Cerebellum-White-Matter	#dcf8a4
6	Left-Cerebellum-Cortex	#e69422
7	Left-Thalamus-Proper		#00760e
8	Left-Caudate	#7abadc
9	Left-Putamen	#ec0db0
10	Left-Pallidum	#0c30ff
11	3rd-Ventricle	#ccb68e
12	4th-Ventricle	#2acca4
13	Brain-Stem	#779fb0
14	Left-Hippocampus	#dcd814
15	Left-Amygdala	#67ffff
16	CSF	#3c3c3c
17	Left-Accumbens-area	#ffa500
18	Left-VentralDC	#a52a2a
19	Left-vessel	#a020f0
20	Left-choroid-plexus	#00c8c8
21	Right-Cerebral-White-Matter	#f5f5f5
22	Right-Cerebral-Cortex	#cd3e4e
23	Right-Lateral-Ventricle	#781286
24	Right-Inf-Lat-Vent	#c43afa
25	Right-Cerebellum-White-Matter	#dcf8a4
26	Right-Cerebellum-Cortex	#e69422
27	Right-Thalamus-Proper		#00760e
28	Right-Caudate	#7abadc
29	Right-Putamen	#ec0db0
30	Right-Pallidum	#0d30ff
31	Right-Hippocampus	#dcd814
32	Right-Amygdala	#67ffff
33	Right-Accumbens-area	#ffa500
34	Right-VentralDC	#a52a2a
35	Right-vessel	#a020f0
36	Right-choroid-plexus	#00c8dd
37	5th-Ventricle	#78be96
38	WM-hypointensities	#c846ff
39	non-WM-hypointensities	#a46ce2
40	Optic-Chiasm	#eaa91e
41	CC_Posterior	#000040
42	CC_Mid_Posterior	#000070
43	CC_Central	#0000a0
44	CC_Mid_Anterior	#0000d0
45	CC_Anterior	#0000ff
46	ctx-lh-unknown	#190519
47	ctx-lh-bankssts	#196428
48	ctx-lh-caudalanteriorcingulate	#7d64a0
49	ctx-lh-caudalmiddlefrontal	#641900
50	ctx-lh-cuneus	#dc1464
51	ctx-lh-entorhinal	#dc140a
52	ctx-lh-fusiform	#b4dc8c
53	ctx-lh-inferiorparietal	#dc3cdc
54	ctx-lh-inferiortemporal	#b42878
55	ctx-lh-isthmuscingulate	#8c148c
56	ctx-lh-lateraloccipital	#141e8c
57	ctx-lh-lateralorbitofrontal	#234b32
58	ctx-lh-lingual	#e18c8c
59	ctx-lh-medialorbitofrontal	#c8234b
60	ctx-lh-middletemporal	#a06432
61	ctx-lh-parahippocampal	#14dc3c
62	ctx-lh-paracentral	#3cdc3c
63	ctx-lh-parsopercularis	#dcb48c
64	ctx-lh-parsorbitalis	#146432
65	ctx-lh-parstriangularis	#dc3c14
66	ctx-lh-pericalcarine	#78643c
67	ctx-lh-postcentral	#dc1414
68	ctx-lh-posteriorcingulate	#dcb4dc
69	ctx-lh-precentral	#3c14dc
70	ctx-lh-precuneus	#a08cb4
71	ctx-lh-rostralanteriorcingulate	#50148c
72	ctx-lh-rostralmiddlefrontal	#4b327d
73	ctx-lh-superiorfrontal	#14dca0
74	ctx-lh-superiorparietal	#14b48c
75	ctx-lh-superiortemporal	#8cdcdc
76	ctx-lh-supramarginal	#50a014
77	ctx-lh-frontalpole	#640064
78	ctx-lh-temporalpole	#464646
79	ctx-lh-transversetemporal	#9696c8
80	ctx-lh-insula	#ffc020
81	ctx-rh-unknown	#190519
82	ctx-rh-bankssts	#196428
83	ctx-rh-caudalanteriorcingulate	#7d64a0
84	ctx-rh-caudalmiddlefrontal	#641900
85	ctx-rh-cuneus	#dc1464
86	ctx-rh-entorhinal	#dc140a
87	ctx-rh-fusiform	#b4dc8c
88	ctx-rh-inferiorparietal	#dc3cdc
89	ctx-rh-inferiortemporal	#b42878
90	ctx-rh-isthmuscingulate	#8c148c
91	ctx-rh-lateraloccipital	#141e8c
92	ctx-rh-lateralorbitofrontal	#234b32
93	ctx-rh-lingual	#e18c8c
94	ctx-rh-medialorbitofrontal	#c8234b
95	ctx-rh-middletemporal	#a06432
96	ctx-rh-parahippocampal	#14dc3c
97	ctx-rh-paracentral	#3cdc3c
98	ctx-rh-parsopercularis	#dcb48c
99	ctx-rh-parsorbitalis	#146432
100	ctx-rh-parstriangularis	#dc3c14
101	ctx-rh-pericalcarine	#78643c
102	ctx-rh-postcentral	#dc1414
103	ctx-rh-posteriorcingulate	#dcb4dc
104	ctx-rh-precentral	#3c14dc
105	ctx-rh-precuneus	#a08cb4
106	ctx-rh-rostralanteriorcingulate	#50148c
107	ctx-rh-rostralmiddlefrontal	#4b327d
108	ctx-rh-superiorfrontal	#14dca0
109	ctx-rh-superiorparietal	#14b48c
110	ctx-rh-superiortemporal	#8cdcdc
111	ctx-rh-supramarginal	#50a014
112	ctx-rh-frontalpole	#640064
113	ctx-rh-temporalpole	#464646
114	ctx-rh-transversetemporal	#9696c8
115	ctx-rh-insula	#ffc020
220	Left-undetermined	#87ceeb
221	Right-undetermined	#87ceeb
